priority,race_id,video_file,duration_sec,challenged,lead_change_late,second_closing,shape_final,eye_label,review,shape_prior,prior_agreement,dist_2013_unknown,closeness_2013,trap_1st,trap_2nd,trap_3rd,n_runners,missing_traps,cashout_pause_sec,video_ok,shows_result,notes_2013,notes_new
1,24,Races/24.mp4,20.59,y,y,n,FALLBACK,NW,,DISPUTED,disputed,0.10,grey,4,2,1,,,,,no-board-finish-visible,Kate coded CATCHUP - possible catch-up,"Omar 2026-07-25: trap 2 led on the first straight, was caught by trap 4, and trap 4 then held its advantage through the home straight. Trap 1 finished 3rd well back. Runner-up trap 2 was ahead and got caught -> FALL-BACK. Pass comes early rather than at the line (cf. race 36). Disagrees with Kate (catch-up); Yin had stable."
1,25,Races/25.mp4,21.19,n,n,n,STABLE,NW,,STABLE,2/3,0.31,clear,3,4,2,,,,,no-board-finish-visible,Kate coded CATCHUP; margin wide - possible catch-up,"Omar 2026-07-25: trap 3 led by a little through the home straight, followed closely by the other two, but they never got to it - the gap stayed constant. Runner-up trap 4 close but not closing -> STABLE. Agrees with Yin; disagrees with Kate (catch-up), consistent with Kate coding the whole race rather than the home straight."
1,26,Races/26.mp4,21.69,y,y,n,EXCLUDE,EXCLUDE,EXCLUDED,CLEAR,2/3,0.03,narrow,1,5,3,,,,,no-board-finish-visible,Luke queried whether catch-up,"Omar 2026-07-25: trap 5 was winning just before the curve, then BUMPED INTO TRAP 3; trap 1 came through and clearly won. Omar's instinct was fall-back, but that describes an event before the home straight - the finish itself was not contested, so under the home-straight rule this is a CLEAR win, not a near miss. FLAG: contains interference (a bump). Interference races may need excluding from both pools - being baulked is an attributional event (bad luck / unfairness) that is psychologically different from a near miss, and would contaminate the ratings. | DECISION 2026-07-25 (Omar): DO NOT USE. Contains interference (a bump), and the clear pool has 16 races so nothing is lost by dropping it."
1,31,Races/31.mp4,20.65,y,n,y,STABLE,NW,,DISPUTED,disputed,0.01,narrow,2,4,6,,,,,no-board-finish-visible,Yin coded FALLBACK; margin tiny,"Omar 2026-07-25 first pass: runner-up trap 4 catching up on winner trap 2 through the home straight -> CATCH-UP. ON RE-VIEWING Omar was no longer confident. HELD as UNCERTAIN pending a final call - do not count in the catch-up cell until resolved. Yin coded it an overtake finish (fall-back); 2013 consensus was disputed. Margin 0.01s, the tightest in the archive, which may be why it is hard to read. | RESOLVED 2026-07-25 (Omar): on final viewing it is a narrow win but NEITHER fall-back NOR catch-up -> STABLE. Supersedes the held UNCERTAIN."
1,33,Races/33.mp4,21.15,y,n,y,CATCHUP,NW,,DISPUTED,disputed,0.16,grey,4,6,3,,,,,no-board-finish-visible,1 and 2 clear of the rest,"Omar 2026-07-25 CONFIRMED on re-viewing: runner-up trap 6 was catching up on the winner trap 4 -> CATCH-UP. Omar's description: 6 comes closer but never gets close enough to OVERLAP THE LEADER'S BODY. So it is a catch-up of the milder kind - closing without drawing level. Yin had coded this a clear miss and Kate complex; 2013 consensus was disputed. Note the 2013 remark that the front two are well clear of the rest - the near miss is between 4 and 6, not with the field."
1,34,Races/34.mp4,21.35,n,n,n,CLEAR,CW,,DISPUTED,disputed,0.16,grey,1,4,6,,,,,no-board-finish-visible,,"Omar 2026-07-25: ""a narrow win, but it was clear"" - narrow-ish on the clock but the winner was never threatened, so it goes to the CLEAR pool (CW/CL), no trajectory needed. Matches the 2013 note 'somewhere in between a clear and a narrow win'. Yin had stable."
1,35,Races/35.mp4,21.05,n,n,n,STABLE,NW,,STABLE,2/3,0.03,narrow,1,2,4,,,,,no-board-finish-visible,,"Omar 2026-07-25: narrow win, stable. Runner-up trap 2 close but the gap held. Agrees with Kate and Yin. Margin 0.03s - tight on the clock but no closing."
1,37,Races/37.mp4,21.69,,,,CLEAR,CW,,DISPUTED,disputed,0.07,narrow,1,3,5,,,,,no-board-finish-visible,,"Omar 2026-07-25: CLEAR WIN. Finish 1, 3, then 5 and 4 too close to separate (either could be 3rd; participants cannot verify). Resolves the 2013 DISPUTED shape. Jackets read as standard UK: trap1 red, trap2 blue, trap4 dark/black, trap5 orange-yellow. NOTE: 2013 gap_sec 0.07 conflicts with a clear win - that figure may be the 3rd/4th margin, not 1st/2nd."
2,4,Races/4.mp4,23.12,,,,CATCHUP,NW,,CATCHUP,3/3,0.05,narrow,3,5,2,6,,,,yes,all 3 raters agree,Trajectory CATCHUP per Omar+Yin (near-miss perspective). Used in analyze_pilot.R fig5.
2,5,Races/5.mp4,23.09,,,,FALLBACK,NW,,FALLBACK,3/3,0.09,grey,2,3,1,6,,,,yes,all 3 raters agree,"Omar 2026-07-25 FINAL: trap 1 led and was caught by 2 and 3 in the home straight, finishing 3rd. Omar calls the race FALL-BACK. AGREES with Yin (overtake finish) and with shape_prior. NB Omar's spoken description tracks trap 1 (3rd place) while the label applies to the runner-up trap 3; the two independent sources agreeing on fall-back is what settles it. An earlier note in this cell read CATCH-UP - that was the assistant's inference from a partial description and is superseded."
